_PY	_PYaltFULL1	_PYaltFULL2	_PYaltFULL3
wángguó nú			
wángyáng bǔláo			
jiāojì huā			
rényún yìyún			
rénkǒu fànzi			
rénwēi yánqīng	rénwéi yánqīng		
rénxīn xiàng bèi			
rén fúyú shì			
rénfàn			
rén jìn qícái			
rén fànzi			
rénzhì			
rénjì guānxi			
rénmiàn shòuxīn			
rénzhì yìjìn			
chóurén			
jīnfēi xībǐ	jīnfēi xíbǐ		
zhàngyì shūcái			
fù zhū dōngliú			
lìng rén fàzhǐ	lìng rén fǎzhǐ		
yǐ jiǎ luànzhēn			
yǐ jiǎ chōngzhēn			
yǐ luǎn jīshí	yǐ luǎn jíshí		
yǐ dé bàoyuàn			
yǐ yuàn bàodé			
yǐcì chōnghǎo			
yǐyá huányá			
yǐ lǐ fúrén			
yǐ zhí bàoyuàn			
yǐyǎn huányǎn			
yǐ’é chuán’é 			
yǐ shēn zuòzé			
yǐshēn xùnzhí			
yǐ yì dàiláo			
yǐlín wéihè	yǐlín wéihuò		
yǎng rénbí xī			
rènrén wéi xián			
rèn rén zǎigē			
rènláo rènyuàn			
qǐtú xīn	qìtú xīn		
jìliǎng			
xiūqī xiāng guān			
xiūqī yǔ gòng			
shēnzhāng			
dīsān xiàsì			
dīshēng xiàqì			
zuòbì			
zuò’è duōduān			
zuòxiù			
zuójian zìjǐ			
nǐsǐ wǒhuó			
yángzhuāng			
shǐ bànzǐ			
kǎnkǎn ér tán			
yīfù			
wǔrǔ	wǔrù		
qīnhài			
qīnfàn			
biànyí xíngshì	piányí xíngshì		
zǔshàng ròu			
súrén			
bǎoshǒu			
bǎoshǒu pài			
bǎomì			
bǎohù			
xìn kǒu kāihé			
fǔyǎng yóurén			
dào dǎ yìpá			
dàoguǒ wéi yīn			
jièdāo shārén			
Wōkòu			
jiǎ			
jiǎrén jiǎyì			
jiǎxīngxīng			
jiǎ cíbēi			
jiǎzhuāng			
jiǎhuà			
jiǎzào			
jiǎ dàoxué			
piānxīn			
piānsī			
piāntīng piānxìn			
piāntǎn			
piānpō			
zuò yìtiān héshang zhuàng yìtiān zhōng	zuò yìtiān héshàng zhuàng yìtiān zhōng		
zuòrén			
zuòzuo			
zuòguān			
zuòxiǎo fúdī			
tōugōng jiǎnliào			
tōuqiè			
wěi jūnzǐ			
wěishàn			
wěizhuāng			
wěizào			
kuǐlěi			
kuǐlěi huángdì			
ào			
àomàn			
àoshì			
àoshì qúnfāng			
àoshì qúnxióng			
chuánwén			
zhàizhǔ			
shāngtiān hàilǐ			
shānghén lěilěi			
shāngfēng bàisú			
qīngyà			
yōu yuègǎn			
yuánxiōng			
xiānjìn			
guāngmíng zhèngdà			
guāngmíng lěi luò			
guāngmíng xíngshì			
kèjǐ fènggōng			
kèjìn juézhí			
ér huángdì			
tùsǐ gǒupēng			
dōu quānzi			
jīngjīng yèyè			
nèijiān			
nèiyìng			
nèihào			
liǎngxiù qīngfēng			
liǎngmiàn sāndāo			
liǎngmiàn guāng			
liǎngmiàn pài			
bāguà xīnwén			
bāmiàn guāng			
bāmiàn línglóng			
gōngshì gōng bàn			
gōngshì huà			
gōngzhèng			
gōngzhèng wúsī			
gōng ér wàngsī			
gōngdào			
liùqīn búrèn			
yuānwang	yuānwǎng	yuānwàng	
míngwán bùlíng			
lěngmò			
lěngyǎn páng guān			
lěngkù			
lěngkù wúqíng			
língrǔ	língrù		
fánfū súzǐ			
xiōngtú			
xiōng’è			
xiōngbào			
xiōngcán			
xiōngfàn			
xiōnghěn			
xiōngxiǎn			
chūqì tǒng			
chūshēng rùsǐ			
chūzhòng			
chūmài			
chūcuò			
chūlèi bácuì			
chū fēngtou	chū fēngtóu		
diāohuá			
xíngshì fàn			
bié yǒu yòngxīn			
lì lìng zhìhūn			
lìsuo	lìsuǒ		
lìluo	lìluò		
cìkè			
kèzhōu qiújiàn			
xuēruò	xiāoruò		
qián pàláng hòu pàhǔ			
qiánchéng sìjǐn			
qiánchéng wànlǐ			
qiántú			
qiántú guāngmíng			
qiántú miǎománg			
qiántú wúliàng			
qiántú mángmáng			
gāngbì zì yòng			
piāoqiè	piàoqiè		
guìzi shǒu	kuàizi shǒu		
lìzhēng shàngyóu			
gōngchéng bùjū			
gōngchén			
zhùzhòu wéinüè			
nǔlì			
jiéchí			
jiéchí fàn			
jiélüè			
yǒngshì			
yǒnggǎn			
yǒngyú …			
yǒngwǔ			
yǒngqì			
yǒngměng			
miǎnqiǎng			
lèlìng			
lèsuǒ			
wùshí			
shìlì			
shìli xiǎorén			
shìli yǎn			
qínkěn			
gōuyǐn			
gōuda	gōudā		
gōujié			
bāocáng huòxīn			
shíquán shíměi			
shí’è búshè			
shēngdǒu xiǎomín			
bànpíng cù			
bēiliè			
bēiqiè			
bēiwū			
bēigōng qūxī			
bēibǐ			
bēibǐ wòchuò			
zhuóyǒu yuǎnjiàn			
zhuóyuè			
bódà jīngshēn			
zhàn piányi			
hòucǐ bóbǐ			
yuánzé			
yòuhóng yòuzhuān			
fǎn qídào ér xíngzhī 			
fǎndòng			
fǎndòng pài			
fǎnkè wéizhǔ			
fǎn gémìng			
fǎnbó			
qǔqiǎo			
qǔyuè			
shòuzhì yú rén			
shòuqì bāo			
pàntú			
pànchén			
kǒu chū kuángyán			
kǒushì xīnfēi			
kǒushuǐ zhàn			
kǒumì fùjiàn			
gǔdào rècháng			
kěkào			
chīle xióngxīn bàozi dǎn			
chīle bàozi dǎn			
chīrén			
chīrén bùtǔ gǔtou	chīrén bùtǔ gǔtóu		
chīlì bù tǎohǎo			
chīkuī			
héyí			
tóngzhì			
tóngliú héwū			
tóngmóu fàn			
míng liè qiánmáo			
míng fù qíshí			
míng fú qíshí			
jūnzǐ			
hánhu	hánhú		
hánhu qící 	hánhú qí cí		
hánxuè pēnrén	hánxiě pēnrén		
shǔnyōng shìzhì			
chuī lǎba			
chuīxū			
chuīpěng			
chuīléi			
chuīniú			
chuī niúpí			
gào yángzhuàng			
gàozhuàng			
héshì lǎo			
huò xīní			
yǎo ěrduo			
hǒngpiàn			
hǎba gǒu	hābā gǒu		
suōshǐ			
suōshǐ zhě			
tángtū	tángtú		
wéi lì shìtú			
wěiwěi nuònuò	wéiwéi nuònuò		
chàng shuānghuáng			
chàng gāodiào			
wènxīn wúkuì			
hóushé			
hècǎi			
sàngjiā zhī quǎn			
sàngjiā quǎn			
sàngxīn bìngkuáng			
sàngjìn tiānliáng			
dāndāo zhírù			
shìshā chéngxìng			
jiāxǔ			
huázhòng qǔchǒng			
jìn ruò hánchán			
xià			
xiàhu			
yánjùn			
xiāozhāng			
qiútú			
sìpíng bāwěn			
huíkòu			
yīn yē fèishí			
quāntào			
yuánhuá			
zàiyā fàn			
zàitáo fàn			
dì fù fǎn huài yòu			
dìpǐ			
kēngrén			
kēnghài			
kēngmēng			
kēngmēng guǎipiàn			
tǎnshuài			
tǎnbái			
tǎnchéng			
máifu			
chéngfǔ			
chéngfǔ hěnshēn			
zhímí búwù			
tángtáng zhèng zhèng			
jiāndìng			
jiāndìng bùyí			
jiānrěn			
jiānrěn bùbá			
jiānchí búxiè			
jiānjué			
bàochóu			
bàochóu xuěhèn			
bàoxiào			
túzhī mǒfěn			
mòshǒu chéngguī			
huàirén			
huàidàn			
zhuàngzhì líng yún			
wàiqiáng zhōnggān			
Yèláng zìdà			
dà gōng wúsī			
dàdāo kuòfǔ			
dàchī dàhē			
dàyi			
dàhù			
dàzhì dàyǒng			
dà yǒu zuòwéi			
dàyǒu kěwéi			
dàquán dúlǎn			
dàkuǎn			
dàwàn	dàwǎn		
dàdǎn			
dàyán bùcán			
dàhuà			
tiān búpà, dì búpà			
tiāngōng dìdào			
tiānzhēn wúxié			
tàizǐ dǎng			
shīxìn			
fènggōng shǒufǎ			
fèngcheng	fèngchéng		
tào jiāoqing			
tàohuà			
tào jìnhu			
shēchǐ			
shēhuá			
shēmí			
fèn búgù shēn			
fènfā yǒu wéi			
nǚ qiángrén			
núxìng			
núxìng shízú			
núcai	núcái		
núxiàng			
núxiàng shízú			
núyán bìxī			
núyán mèigǔ			
jiānrén			
jiānnìng			
jiānshāng			
jiānhuá			
jiānchén			
jiānjì			
jiānzéi			
jiānxié			
jiānxiǎn			
hàoshèng			
hàodà xǐgōng			
hǎogǎn			
hàowéi rénshī			
hàobiàn			
rúláng sìhǔ			
wàng zì zūndà			
shǐzhōng rú yī			
wēiwǔ bùqū			
wēixié			
wēixié lìyòu			
wēipò lìyòu			
wēibī lìyòu			
mèi			
mèishàng			
mèisú			
mèiwài			
mèigǔ			
jiàhuò			
jiàhuò yú rén			
cúnxīn bùliáng			
gūzhù yízhì	gūzhù yì zhí		
nāo			
nāozhǒng			
xuéshù piànzi			
xuéfá			
shǒuxìn			
shǒufǎ			
shǒujiù			
shǒujiù pài			
ān yú xiànzhuàng 			
ānfèn 			
ānfèn shǒujǐ 			
ān shǒu běnfèn			
ānpín lèdào			
wánměi wúquē			
guānguān xiāng hù			
zǎirén			
hàirén jīng			
hàiqún zhī mǎ			
shíshì qiúshì			
shíjì			
nìngsǐ bùqū	níngsǐ bùqū		
shěnshèn			
fēngkǒu qián			
fēngjiàn			
fēngshā			
zhuānzhì			
zhuānduàn			
zhuānhèng báhù			
zhuānquán			
xúnxìn nàoshì			
duìshǒu			
duìkàng			
duìzhèng xiàyào			
xiǎochǒu			
xiǎokāng zhī jiā			
xiǎoxīn yìyì			
xiǎoxīn jǐnshèn			
xiǎo huángdì			
xiǎozī			
xiǎo biànzi			
jūgōng zì’ào			
jūxīn bùliáng			
jūxīn pǒcè			
shīwèi sùcān			
túfū			
lǚxiǎn rú yí			
chóngyáng			
chónggāo			
zuǒyòu kāigōng			
qiǎoshé rú huáng			
qiǎoyán lìngsè			
bārgǒu			
bājie	bājié		
jīnguó yīngxióng			
shìkuài			
mùhòu hēishǒu			
bāngxiōng			
niánqīng yǒuwéi			
gànjìn shízú			
gànjìn chōng tiān			
bìhù			
yōngfū yúfù			
yōngzhòng			
liánmíng			
liánzhèng			
liánjié			
liánjié fènggōng			
jiàngōng lìyè			
nòngxū zuòjiǎ			
yǐn yǐwéi jiè			
yǐnjiù zì zé			
yǐn jiù cízhí			
yǐnshé chūdòng			
yǐnyòu			
zhāngkuáng			
qiángrén			
qiángzhì			
qiángshì			
qiángdào			
qiángdào tóuzi			
qiǎngcí duólǐ	qiángcí duólǐ		
qiǎngbiàn	qiángbiàn		
qiǎngpò	qiángpò		
míbǔ			
yǐngshè			
dàirén jiēwù			
xùnsī wǔbì	xúnsī wǔbì		
hòutái			
hòuhuàn wúqióng			
hòujìn			
túzǐ túsūn			
túdi			
tú yǒu xūmíng			
délì			
déyì wàngxíng			
cóngzhèng			
cóngfàn			
cóngzhòng			
fùchóu			
xúnguī dǎojǔ			
xīn kǒu bùyī			
xīnkǒu rúyī			
xīndì guāngmíng			
xīnhuái yìzhì			
xīn huái guǐtāi			
xīnjī			
xīnhěn shǒulà			
xīnlǐ yīn’àn			
xīnxū			
xīnshù búzhèng			
xīnjì			
zhìdà cáishū			
wàng hū suǒyǐ			
wàng’ēn fùyì			
wàngwǒ			
zhōngxīn			
zhōngxīn gěnggěng			
zhōng yú			
zhōngchén			
zhōngchéng			
zhōngzhēn			
zhōngzhēn bù’èr			
zhōngzhēn bùyú			
zhōngshùn			
kuàidāo zhǎn luànmá			
nùqì			
pàshì			
pà chīkuī			
hù’è bùquān			
jí xiānfēng			
jígōng hàoyì			
jígōng jìnlì			
guài			
qiènuò			
shìcái àowù			
zìyì wàng wéi			
ēn jiāngchóu bào			
gōngwei			
gōngjǐn			
xīshì níngrén	xíshì níngrén		
huǐguò			
bēitiān mǐnrén			
bēiguān			
qíngfù			
qíngmiàn			
wéiwǒ dúzūn			
èrén			
èrén xiān gàozhuàng			
ègǎn			
ègùn			
èdú			
èguàn mǎnyíng			
èbà			
nǎohuǒ			
rěshì shēngfēi			
rě máfán			
xīngxīng zuòtài			
yìqì yòngshì			
yìqì xiāngtóu			
yú bùkě jí			
yúfū yúfù			
yúnuò			
yúmèi			
yúmèi wúzhī			
yúchǔn			
ài chū fēngtou	ài chū fēngtóu		
àiguó zéi			
àiqíng piànzi			
àimù xūróng			
àixiàn			
ài miànzi			
gǎnjī tìlíng			
shènzhòng			
guànfàn			
sǒngyǒng			
yōushì shāngshēng			
yōuguó wàngjiā			
yōuguó yōumín			
yōutiān mǐnrén			
fènqīng			
dǒngháng			
yìngfu	yìngfù		
yìngshēng chóng			
yìngchou			
yìngchou huà	yìngchóu huà		
nuòfū			
nuòruò			
liànzhàn			
chéngjiàn			
zhànzhàn jīngjīng			
zhànzhēng kuángrén			
zhànzhēng fànzi			
zhànfàn			
xìzi			
chuōchuān			
dài gāomào			
shān yīnfēng diǎn guǐhuǒ			
shǒuyǎn tōngtiān			
shǒujiǎo bù gānjìng			
shǒuruǎn			
páshǒu			
dǎ tàijí quán			
dǎ guānqiāng			
dǎshou	dǎshǒu		
dǎ bào bùpíng			
dǎ cābiān qiú			
dǎ bǐzhàn			
dǎzhǒng liǎn chōng pàngzi			
dǎ luòshuǐ gǒu			
dǎkāi tiānchuāng shuō liànghuà			
chědàn			
chěhuǎng			
pīpàn			
pīpíng			
pībó			
zhǎo máfan			
chāoxí			
bǎxì			
bǎbǐng			
bǎ huà shuōsǐ			
tóu qísuǒhào			
tóuxiào			
tóujī qǔqiǎo			
tóujī shāng			
kàngmìng			
kàngjù			
zhēteng			
pīgān lìdǎn			
tái jiàozi			
bào bùpíng			
bàoqū			
bàoyuàn			
bàocán shǒuquē			
bàotóu shǔ cuàn			
dǐzhì			
dǐkàng			
dǐchù			
mǒshā			
mǒhēi			
cā lànwū			
chāichuān			
chāichuān xīyáng jìng			
lā jiāoqing			
lābāng jiépài			
lā guānxi			
pāishǒu jiàohǎo			
pāi’àn jiàojué			
pāimǎ			
pāi mǎpì			
guǎiwān mòjiǎo			
guǎiqián			
guǎipiàn			
zhāoyáo			
zhāoyáo zhuàngpiàn			
shí rén yáhuì			
chípíng			
chípíng zhī lùn			
chíyíng bǎotài			
zhǐshǐ			
zhǐshǐ zhě			
zhǐzhāi	zhǐzhé		
zhǐdōng shuōxī			
zhǐsāng màhuái			
zhǐzé			
zhǐlù wéimǎ			
zhǐhēi dàobái			
tiǎosuō			
tiǎozhàn			
tiǎobō			
tiǎobō líjiàn			
tiāo máobìng			
tiǎoxìn			
cuòzhé			
tǒng lóuzi			
tǒng mǎfēng wō			
niēzào			
pěng			
pěng shàngtiān			
shějǐ wèirén			
shěshēng wàngsǐ			
juǎn pūgai	juǎn pūgài		
diānjīn bōliǎng			
shòurén kǒushí			
diào yǐ qīngxīn			
páiwài			
páijǐ			
páichì			
páichì yìjǐ			
yǎn rén ěrmù			
yǎngài			
yǎnshì			
tíchū cíchéng			
tí yìjian			
jiēdǐ			
jiēfā			
jiēchuān			
jiē lǎodǐ			
jiēlù			
huījīn rú tǔ			
huīhuò			
huīhuò wúdù			
yéyú			
sǔnrén lìjǐ			
yáowěi qǐlián			
dǎoluàn			
dǎoguǐ			
gǎo xiǎo quānzi			
gǎochòu			
gǎoguǐ			
tángsè	tángsāi		
bānnòng shìfēi			
qiǎngjié			
qiǎngjié fàn			
guàn shāmào			
lāoqián			
sāhuǎng			
bōluàn fǎnzhèng			
yōnghù	yǒnghù		
shànquán			
bǎi jiàzi			
bǎi lǎo zīgé			
bǎituō			
bǎikuò			
pān guānxi	pān guānxì	pān guānxī	
pānfù			
pānlóng fùfèng			
zhīwu qící	zhīwú qí cí		
shōuyā			
gǎixié guīzhèng			
fàng lěngjiàn			
fàng ànjiàn			
fàng kōngpào			
fàngzòng			
fàngguo			
zhèngzhì fàn			
zhèngzhì piànzi			
zhèngjì	zhèngjī		
gù rùrén zuì			
xiàozhōng			
jiùxīng			
bàilèi			
jiàosuō			
jiàosuō fàn			
jiàosuō zhě			
jiàotiáo			
jiàotiáo zhǔyì			
gǎn			
gǎn zuò bùgǎn dāng			
gǎnzuò gǎndāng			
gǎnyú …			
zhěng			
fūyan	fūyǎn		
fūyan liǎoshì	fūyǎn liǎoshì		
fūyan sèzé	fūyǎn sèzé		
wénhuà rén			
wénhuà shuǐpíng hěn gāo			
wénzì yù			
wénmíng			
wénpǐ			
wénguò shìfēi	wènguò shìfēi		
wénfá			
dǒudǎn			
liàoshì rú shén			
jīnjīn jìjiào			
chìzé			
duànyán			
yúxīn bùrěn			
páng ruò wúrén			
jìwǎng bújiù			
jìxiǎng dāng biǎozi yòuxiǎng lì páifāng			
míngzhé bǎoshēn			
mínghuǒ zhízhàng			
míngzhēng àndòu 			
míngmù zhāngdǎn			
hūnyōng			
hūnmèi			
wǎnjié bùbǎo			
zhìyǒng shuāngquán			
zhìnáng			
zhìnáng tuán			
ànsuàn			
ànjiàn shāngrén			
mùqì chén chén			
bàojūn			
bàofù			
bàotú			
bàolì			
bàofā hù			
bàonüè			
qūyì féngyíng			
tìsǐ guǐ			
tìzuì yáng			
tìzuì gāoyáng			
yuèdàn			
yǒu qiántú			
yǒuyǒng yǒumóu			
yǒu yǒng wúmóu			
yǒukǒu jiē bēi			
yǒushī gōngyǔn			
yǒu xīwàng			
yǒushì wúkǒng			
yǒupíng yǒujù			
yǒu wénhuà			
yǒu móulüè			
yǒu zéixīn méiyǒu zéi dǎn			
yǒu bànfǎ			
fú			
fúqì			
wàng nǚ chéngfèng			
wàng zǐ chénglóng			
běnfèn			
dùjué hòuhuàn			
shùshǒu shùjiǎo			
shùshǒu wúcè			
jiéchū			
dōngshī xiàopín			
guǒgǎn			
shìzi tiāo ruǎnde chī			
zāizāng			
xiāoxióng			
gòuxiàn			
qiāng dǎ chūtóu niǎo			
lètiān zhīmìng			
lèguān			
biāobǎng			
hèngbào	héngbào		
héngxíng bùfǎ			
héngxíng wújì			
héngxíng bàdào			
jiǎndiǎn			
quánguì zǐdì			
yùhè nán tián	yùhuò nán tián		
qīshàng mánxià			
qīshì dàomíng			
qīrén tài shèn			
qīwǔ			
qīyā			
qīmán			
qīfu			
qīpín àifù			
qīruǎn pàyìng			
qīpiàn			
gēgōng sòngdé			
gēsòng			
zhèngdà guāngmíng			
zhèngcháng rén			
zhèngpài			
zhèngdàng	zhèngdāng		
zhèngdàng xìng	zhèngdāng xìng		
zhèngzhí			
zhèngyì			
zhèngyì gǎn			
zhèngmiàn huíyìng			
bùbù wéi yíng			
wǔduàn			
wāiqū			
dǎirén			
dǎitú			
sǐxíng fàn			
sǐqiú			
sǐ duìtou	sǐ duìtóu		
sǐ yǒu yúgū			
sǐ yào miànzi			
cánrěn			
cánbào			
cánkù			
cánkù wúqíng			
shārén bù zhǎyǎn			
shārén bú jiànxiě	shārén bú jiànxuè		
shārén rú má			
shāqì téngténg			
huǐbàng			
dúhài			
mínzhǔ			
mínshì  fàn			
qìpài			
qìyàn xiāozhāng			
qìyàn wànzhàng			
qìpò			
qiúquán zébèi			
jiānghú piànzi			
wūrǔ	wūrù		
juéliè			
Hàng Xiè yíqì			
chénzhuó			
méijīng dǎcǎi			
yóu			
yóuzuǐ huáshé			
yóuhuá			
yóuqiāng huádiào			
yóutóu huánǎo			
nìgǔ búhuà	nígǔ búhuà		
huóyuè	huóyào		
liúwáng			
liúmáng			
làngfèi			
fúpí liáocǎo			
fúkuā			
hǎidào			
xiāojí			
juān dī guīgōng			
shēnwén zhōu nà			
hùn			
hùnrù			
hùnxiáo shìfēi	hùnyáo shìfēi		
hùnxiáo hēi bái	hùnyáo hēi bái		
húndàn			
hùnjìn			
qīnglián			
qīngpín zì shǒu			
yóurèn yǒuyú			
húnshēn shì dǎn			
liūxū pāimǎ			
mièjué rénxìng			
huátóu			
huátóu huánǎo			
mǎnshēn tóngchòu			
lòudòng bǎichū			
lòuwǎng zhī yú			
Hànjiān			
qiánfú			
liáodǎo			
liáocǎo sèzé			
kuìsàn			
jīshǎng			
jījìn			
jījìn fènzi			
jījìn pài			
dúzhí			
dúzhí fàn			
guàn mǐtang			
guàn mítāng			
huǒqì			
chǎo lěngfàn			
chǎo yóuyú			
wèi guó jìnzhōng			
wéifù bùrén			
wèihǔ zuòchāng			
wúdòng yú zhōng			
wúqíng			
wúqíng wúyì			
wú suǒ wèijù			
wúfǎ wútiān			
wú lǐ qǔnào			
wúdì fàngshǐ			
wúzhī			
wúsī			
wújīng dǎ cǎi			
wúlài			
wúlài hàn			
zhàozhāng bànshì			
shāndòng			
shānfēng diǎnhuǒ			
dēnghóng jiǔlǜ			
zhǎoyá	zhuǎyá		
zhēngqiáng hàoshèng			
zhēngqì			
ěryú wǒzhà			
qiángtóu cǎo			
niúdāo xiǎo shì			
niúguǐ shéshén			
fā láosāo			
tèlì dúxíng			
xīshēng pǐn			
fànrén			
fànjì			
fàn zhòngnù			
kuángwàng			
hújiǎ hǔwēi			
gǒuzǎi duì			
gǒu zhàng rénshì			
gǒutóu jūnshī			
hěn			
hěnxīn			
hěndú			
jiǎotù sān kū			
jiǎokuài			
jiǎoxiá			
juànjiè zhī shì			
lángxīn gǒufèi 			
lángbèi wéijiān			
chāngjué			
dúfū			
dúfū mínzéi			
dúduàn			
dúduàn zhuānxíng			
dúduàn dúxíng			
dúlì			
dúlì zìzhǔ			
dúcái			
dúcái zhě			
xiànmèi			
xiàn yīnqín			
gù zuǒyòu ér yántā			
wánshì bùgōng			
wán huāzhāo			
diànrǔ	diànrù		
bānmén nòngfǔ			
xiànxíng fàn			
yòngbīng rú shén			
yòngxīn xiǎn’è			
wèiqiáng qīruò			
wèishǒu wèiwěi			
liúxià hòuhuàn			
liúyǒu yúdì			
liú yúdì			
yìxīn			
jīxíng			
shūhu			
tòng gǎi qiánfēi			
pǐzi			
pǐgùn			
fāyáng			
fāyáng guāngdà			
fāhuǒ			
bǎiyī bǎishùn			
bǎizhé bùnáo			
shèngqì língrén			
shèngzàn			
dàofěi			
dàomù zéi			
dàozéi			
jìnzhōng			
jìnzhí			
jìnzé			
pánbō			
mùguāng rú jù			
mùguāng yuǎndà			
mù wú fǎjì			
dīngshāo			
mángcóng			
zhíyán búhuì			
méilái yǎnqù			
kànrén yǎnsè			
zhēnxīn			
zhēnchéng			
zhòngshǐ zhī dì			
pìnì yíqiè	bìnì yíqiè		
ruìzhì			
xiāchě			
xiā zhēteng			
xiāshuō			
jīnkuā			
zhīshi fènzǐ	zhīshì fènzǐ	zhīshí fènzǐ	
duǎnshì			
duǎnshì jìnlì			
jiǎoshì			
pòzhàn			
pòfǔ chénzhōu			
shényǒng			
shéntài zìruò			
shénshèng			
huòguó yāngmín			
qínshòu bùrú			
bǐnggōng chǔlǐ	bǐnggōng chùlǐ		
bǐnggōng bànlǐ			
chēngzàn			
chēngdào			
jījí			
wěnzhā wěndǎ			
kōngkǒu shuō báihuà			
kōnghuà			
kōngtán			
tūchū	túchū		
wōlǐ dòu			
qióngxiōng jí’è 			
qióngkùn liáodǎo			
qióngshē jíchǐ			
jìngzhēng			
xiàolǐ cángdāo			
xiàomiàn hǔ			
dìyī bǎ shǒu			
cèshì			
suànji			
cuàngǎi			
fěnshì			
fěnshì tàipíng			
jīngdào			
jīngdǎ xìsuàn			
jīngshén búzhèn			
jīngsuàn			
jīngyīng			
jīngyīng fènzǐ			
hútu	hútú		
mílàn			
jiūchán			
hóng wǔlèi			
hónghuo	hónghuǒ		
chúnzhēn			
zhǐshàng tánbīng			
zhǐ lǎohǔ			
zhǐzuì jīnmí			
jiédǎng yíngsī			
gěi … chuān xiǎoxié			
bǎngfěi			
bǎngjià			
jīngtiān wěidì			
jīnglì			
jīngyàn			
miánlǐ cángzhēn			
biānzào			
liàndá			
suōshǒu suōjiǎo			
zònghuǒ fàn			
rào quānzi			
ràowānr			
rào wānzi			
quēdé			
quēdé guǐ			
zuìrén			
zuìdà èjí			
zuìniè shēnzhòng			
zuì’è			
zuì’è zhāo zhāng			
zuì’è zhāo zhù			
zuìfàn			
zuì gāi wànsǐ			
zuìkuí huòshǒu			
zhì shēngsǐ yú dùwài			
luózhī zuìmíng			
luózhī zuìzhuàng			
yáng rù hǔkǒu			
měirén jì			
yìqi			
fānliǎn			
fānliǎn bú rènrén			
fānliǎn wúqíng			
yàowǔ yángwēi			
lǎoshào wúqī			
lǎo yú shìgù			
lǎo yóutiáo			
lǎo húli			
lǎoliàn			
lǎomóu shēnsuàn			
lǎomǎ shítú	lǎomǎ shìtú		
shuǎ zuǐ pízi			
